scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train
scene0297_01,12,[21],choose the table that is in front of the cabinet,scene0297_01-table-2-12-21,allocentric,front,table,['cabinet'],[11],"['choose', 'the', 'table', 'that', 'is', 'in', 'front', 'of', 'the', 'cabinet']",sr3d,True,True,True
scene0297_01,12,[21],find the table that is in front of the cabinet,scene0297_01-table-2-12-21,allocentric,front,table,['cabinet'],[11],"['find', 'the', 'table', 'that', 'is', 'in', 'front', 'of', 'the', 'cabinet']",sr3d,True,True,True
scene0250_01,40,[25],"looking at the front of the toilet, pick the towel that is to the left of the toilet",scene0250_01-towel-2-40-25,allocentric,left,towel,['toilet'],[7],"['looking', 'at', 'the', 'front', 'of', 'the', 'toilet', 'pick', 'the', 'towel', 'that', 'is', 'to', 'the', 'left', 'of', 'the', 'toilet']",sr3d,True,True,True
scene0250_01,40,[25],"looking at the front of the toilet, select the towel that is to the left of it",scene0250_01-towel-2-40-25,allocentric,left,towel,['toilet'],[7],"['looking', 'at', 'the', 'front', 'of', 'the', 'toilet', 'select', 'the', 'towel', 'that', 'is', 'to', 'the', 'left', 'of', 'it']",sr3d,True,True,True
scene0250_01,39,[49],"facing the front of the toilet, select the picture that is on the left of it",scene0250_01-picture-2-39-49,allocentric,left,picture,['toilet'],[7],"['facing', 'the', 'front', 'of', 'the', 'toilet', 'select', 'the', 'picture', 'that', 'is', 'on', 'the', 'left', 'of', 'it']",sr3d,True,True,True
scene0250_01,39,[49],"looking at the front of the toilet, pick the picture that is to the left of the toilet",scene0250_01-picture-2-39-49,allocentric,left,picture,['toilet'],[7],"['looking', 'at', 'the', 'front', 'of', 'the', 'toilet', 'pick', 'the', 'picture', 'that', 'is', 'to', 'the', 'left', 'of', 'the', 'toilet']",sr3d,True,True,True
scene0369_02,9,"[14, 21, 22]",find the book that is in front of the office chair,scene0369_02-book-4-9-14-21-22,allocentric,front,book,['office chair'],[26],"['find', 'the', 'book', 'that', 'is', 'in', 'front', 'of', 'the', 'office', 'chair']",sr3d,True,True,True
scene0369_02,9,"[14, 21, 22]",choose the book that is in front of the office chair,scene0369_02-book-4-9-14-21-22,allocentric,front,book,['office chair'],[26],"['choose', 'the', 'book', 'that', 'is', 'in', 'front', 'of', 'the', 'office', 'chair']",sr3d,True,True,True
scene0369_02,33,[32],"looking at the front of the office chair, choose the chair that is to the right of it",scene0369_02-chair-2-33-32,allocentric,right,chair,['office chair'],[26],"['looking', 'at', 'the', 'front', 'of', 'the', 'office', 'chair', 'choose', 'the', 'chair', 'that', 'is', 'to', 'the', 'right', 'of', 'it']",sr3d,True,True,True
scene0369_02,33,[32],"looking at the front of the office chair, choose the chair that is on the right side of it",scene0369_02-chair-2-33-32,allocentric,right,chair,['office chair'],[26],"['looking', 'at', 'the', 'front', 'of', 'the', 'office', 'chair', 'choose', 'the', 'chair', 'that', 'is', 'on', 'the', 'right', 'side', 'of', 'it']",sr3d,True,True,True
