stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang,is_train
scene0429_00-sink-2-6-14,"Facing the sinks, it's the one on the right",True,137,230,scene0429_00,sink,6,"['facing', 'the', 'sinks', 'it', 'is', 'the', 'one', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True
scene0279_00-nightstand-2-5-6,"If you look toward the headboard of the bed, the nightstand is the one to the left of the bed.",True,32,694,scene0279_00,nightstand,5,"['if', 'you', 'look', 'toward', 'the', 'headboard', 'of', 'the', 'bed', 'the', 'nightstand', 'is', 'the', 'one', 'to', 'the', 'left', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,True
scene0099_00-chair-4-2-0-1-3,"If you are standing at the white table, it is the closest chair on the left.",True,56,714,scene0099_00,chair,2,"['if', 'you', 'are', 'standing', 'at', 'the', 'white', 'table', 'it', 'is', 'the', 'closest', 'chair', 'on', 'the', 'left']",nr3d,True,True,True,True,False,True
scene0223_00-bed-2-5-4,"Facing the desk between the beds, the bed on the right.",True,564,596,scene0223_00,bed,5,"['facing', 'the', 'desk', 'between', 'the', 'beds', 'the', 'bed', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True
scene0216_00-picture-4-13-5-6-12,if looking at the window it's the picture in the front left.,False,94,183,scene0216_00,picture,13,"['if', 'looking', 'at', 'the', 'window', 'it', 'is', 'the', 'picture', 'in', 'the', 'front', 'left']",nr3d,True,True,True,False,False,True
scene0341_00-cup-3-33-32-35,"When standing in the middle of the room facing the cups, the correct one is on the far right, farthest from the door.",True,411,174,scene0341_00,cup,33,"['when', 'standing', 'in', 'the', 'middle', 'of', 'the', 'room', 'facing', 'the', 'cups', 'the', 'correct', 'one', 'is', 'on', 'the', 'far', 'right', 'farthest', 'from', 'the', 'door']",nr3d,True,True,True,False,False,True
scene0142_00-table-5-6-3-4-5-7,"If standing at the door looking at the windows, the far right table against the wall and against the window.",True,426,353,scene0142_00,table,6,"['if', 'standing', 'at', 'the', 'door', 'looking', 'at', 'the', 'windows', 'the', 'far', 'right', 'table', 'against', 'the', 'wall', 'and', 'against', 'the', 'window']",nr3d,True,True,True,False,False,True
scene0640_00-window-2-41-49,The narrow window to the left of the larger windows.,True,181,553,scene0640_00,window,41,"['the', 'narrow', 'window', 'to', 'the', 'left', 'of', 'the', 'larger', 'windows']",nr3d,True,True,True,False,True,True
scene0220_00-kitchen_cabinet-5-23-24-31-33-35,The kitchen cabinet near the floor on the right as you enter through the white door,True,277,706,scene0220_00,kitchen cabinet,23,"['the', 'kitchen', 'cabinet', 'near', 'the', 'floor', 'on', 'the', 'right', 'as', 'you', 'enter', 'through', 'the', 'white', 'door']",nr3d,True,True,True,True,False,True
scene0138_00-radiator-2-44-43,When standing in the middle of the room facing the radiators the correct one is on the right.,True,411,645,scene0138_00,radiator,44,"['when', 'standing', 'in', 'the', 'middle', 'of', 'the', 'room', 'facing', 'the', 'radiators', 'the', 'correct', 'one', 'is', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True
