assignmentid,stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang
13237,scene0492_00-bathroom_stall_door-4-12-10-11-13,find the bathroom stall door farthest away from the chair and sinks,TRUE,288,353,scene0492_00,bathroom stall door,12,"['find', 'the', 'bathroom', 'stall', 'door', 'farthest', 'away', 'from', 'the', 'chair', 'and', 'sinks']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
40697,scene0523_00-toilet_paper-2-5-16,The toilet paper next to the toilet.,TRUE,564,21,scene0523_00,toilet paper,5,"['the', 'toilet', 'paper', 'next', 'to', 'the', 'toilet']",nr3d,TRUE,TRUE,FALSE,FALSE,FALSE
31164,scene0433_00-kitchen_cabinets-3-23-3-21,The highest of the cabinets.,TRUE,564,585,scene0433_00,kitchen cabinets,23,"['the', 'highest', 'of', 'the', 'cabinets']",nr3d,TRUE,TRUE,FALSE,FALSE,FALSE
2702,scene0040_00-keyboard-2-39-10,Many colorful pictures are on the wall facing this keyboard.,TRUE,353,356,scene0040_00,keyboard,39,"['many', 'colorful', 'pictures', 'are', 'on', 'the', 'wall', 'facing', 'this', 'keyboard']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
38508,scene0670_00-towel-2-14-13,It is the towel furthest from the windows and sink.,TRUE,56,564,scene0670_00,towel,14,"['it', 'is', 'the', 'towel', 'farthest', 'from', 'the', 'windows', 'and', 'sink']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
13250,scene0056_00-whiteboard-2-21-37,The whiteboard behind the 3 chairs,TRUE,16,714,scene0056_00,whiteboard,21,"['the', 'whiteboard', 'behind', 'the', 'three', 'chairs']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
18234,scene0547_00-picture-2-22-37,the picture over the sofa with the person on it,TRUE,702,501,scene0547_00,picture,22,"['the', 'picture', 'over', 'the', 'sofa', 'with', 'the', 'person', 'on', 'it']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
28235,scene0476_00-radiator-2-21-26,"When facing the window, choose the radiator on the left.",TRUE,308,163,scene0476_00,radiator,21,"['when', 'facing', 'the', 'window', 'choose', 'the', 'radiator', 'on', 'the', 'left']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
29676,scene0253_00-chair-3-14-12-13,The white colored chair at the desks,TRUE,67,648,scene0253_00,chair,14,"['the', 'white', 'colored', 'chair', 'at', 'the', 'desks']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
6031,scene0547_00-chair-4-42-7-28-33,The chair that is tucked mostly under the desk on the right.,FALSE,137,132,scene0547_00,chair,42,"['the', 'chair', 'that', 'is', 'tucked', 'mostly', 'under', 'the', 'desk', 'on', 'the', 'right']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
1349,scene0688_00-lamp-2-31-13,the lamp under the hanging clothes,TRUE,459,605,scene0688_00,lamp,31,"['the', 'lamp', 'under', 'the', 'hanging', 'clothes']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
13990,scene0068_00-trash_can-2-3-43,"Facing the sink there are two small trashcans under it, you need to select the trashcan on the left.",TRUE,254,564,scene0068_00,trash can,3,"['facing', 'the', 'sink', 'there', 'are', 'two', 'small', 'trashcans', 'under', 'it', 'you', 'need', 'to', 'select', 'the', 'trashcan', 'on', 'the', 'left']",nr3d,TRUE,TRUE,TRUE,FALSE,TRUE
35848,scene0547_00-shelf-3-3-32-49,the brown shelf next to the person on the couch,TRUE,220,274,scene0547_00,shelf,3,"['the', 'brown', 'shelf', 'next', 'to', 'the', 'person', 'on', 'the', 'couch']",nr3d,TRUE,TRUE,TRUE,TRUE,FALSE
39952,scene0653_00-trash_can-2-23-22,trash can on the left.,TRUE,94,367,scene0653_00,trash can,23,"['trash', 'can', 'on', 'the', 'left']",nr3d,TRUE,TRUE,TRUE,FALSE,FALSE
