scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train
scene0017_01,25,[26],select the file cabinet with books on top,scene0017_01-file_cabinet-2-25-26,support,supporting,file cabinet,['books'],[14],"['select', 'the', 'file', 'cabinet', 'with', 'books', 'on', 'top']",sr3d,True,True,True
scene0017_01,25,[26],select the file cabinet with books on top of it,scene0017_01-file_cabinet-2-25-26,support,supporting,file cabinet,['books'],[14],"['select', 'the', 'file', 'cabinet', 'with', 'books', 'on', 'top', 'of', 'it']",sr3d,True,True,True
scene0106_01,7,"[5, 6, 10]",select the table with a laptop on its top,scene0106_01-table-4-7-5-6-10,support,supporting,table,['laptop'],[14],"['select', 'the', 'table', 'with', 'a', 'laptop', 'on', 'its', 'top']",sr3d,True,True,True
scene0106_01,7,"[5, 6, 10]",the table with a laptop on its top,scene0106_01-table-4-7-5-6-10,support,supporting,table,['laptop'],[14],"['the', 'table', 'with', 'a', 'laptop', 'on', 'its', 'top']",sr3d,True,True,True
scene0341_01,39,[33],select the bookshelf with a plant on top,scene0341_01-bookshelf-2-39-33,support,supporting,bookshelf,['plant'],[40],"['select', 'the', 'bookshelf', 'with', 'a', 'plant', 'on', 'top']",sr3d,True,True,True
scene0341_01,39,[33],select the bookshelf that is supporting the plant,scene0341_01-bookshelf-2-39-33,support,supporting,bookshelf,['plant'],[40],"['select', 'the', 'bookshelf', 'that', 'is', 'supporting', 'the', 'plant']",sr3d,True,True,True
scene0310_01,1,"[17, 29]",find the cabinet with a coffee maker on its top,scene0310_01-cabinet-3-1-17-29,support,supporting,cabinet,['coffee maker'],[12],"['find', 'the', 'cabinet', 'with', 'a', 'coffee', 'maker', 'on', 'its', 'top']",sr3d,True,True,True
scene0310_01,1,"[17, 29]",find the cabinet with a coffee maker on top of it,scene0310_01-cabinet-3-1-17-29,support,supporting,cabinet,['coffee maker'],[12],"['find', 'the', 'cabinet', 'with', 'a', 'coffee', 'maker', 'on', 'top', 'of', 'it']",sr3d,True,True,True
scene0250_01,47,"[23, 37]",find the plant that is lying on the shelf,scene0250_01-plant-3-47-23-37,support,supported-by,plant,['shelf'],[45],"['find', 'the', 'plant', 'that', 'is', 'lying', 'on', 'the', 'shelf']",sr3d,True,True,True
scene0250_01,47,"[23, 37]",select the plant that is lying on the shelf,scene0250_01-plant-3-47-23-37,support,supported-by,plant,['shelf'],[45],"['select', 'the', 'plant', 'that', 'is', 'lying', 'on', 'the', 'shelf']",sr3d,True,True,True
scene0072_01,19,"[27, 28]",the pillow that is lying on the shelf,scene0072_01-pillow-3-19-27-28,support,supported-by,pillow,['shelf'],[21],"['the', 'pillow', 'that', 'is', 'lying', 'on', 'the', 'shelf']",sr3d,True,True,True
