stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang,is_train
scene0124_00-towel-2-4-5,The towels beside the sink.,True,528,197,scene0124_00,towel,4,"['the', 'towels', 'beside', 'the', 'sink']",nr3d,True,True,True,False,False,True
scene0017_00-chair-4-5-2-3-4,Choose the chair located in front of the large white board.,True,513,315,scene0017_00,chair,5,"['choose', 'the', 'chair', 'located', 'in', 'front', 'of', 'the', 'large', 'white', 'board']",nr3d,True,True,True,True,True,True
scene0352_00-plant-2-22-33,"This plant is on the windowsill, NOT the table.",True,295,564,scene0352_00,plant,22,"['this', 'plant', 'is', 'on', 'the', 'windowsill', 'not', 'the', 'table']",nr3d,True,True,True,False,False,True
scene0429_00-sink-2-6-14,"Facing the sinks, it's the one on the right",True,137,230,scene0429_00,sink,6,"['facing', 'the', 'sinks', 'it', 'is', 'the', 'one', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True
scene0472_00-chair-3-20-21-22,The chair closest to the foot of the bed.,True,564,190,scene0472_00,chair,20,"['the', 'chair', 'closest', 'to', 'the', 'foot', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,True
scene0511_00-box-3-14-0-12,the brown box on top of the other box,True,220,412,scene0511_00,box,14,"['the', 'brown', 'box', 'on', 'top', 'of', 'the', 'other', 'box']",nr3d,True,True,True,True,False,True
scene0537_00-end_table-2-2-11,"This end table is next to a chair, and doesn't have anything sitting on it.",True,111,478,scene0537_00,end table,2,"['this', 'end', 'table', 'is', 'next', 'to', 'a', 'chair', 'and', 'does', 'not', 'have', 'anything', 'sitting', 'on', 'it']",nr3d,True,True,True,False,False,True
scene0279_00-nightstand-2-5-6,"If you look toward the headboard of the bed, the nightstand is the one to the left of the bed.",True,32,694,scene0279_00,nightstand,5,"['if', 'you', 'look', 'toward', 'the', 'headboard', 'of', 'the', 'bed', 'the', 'nightstand', 'is', 'the', 'one', 'to', 'the', 'left', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,True
scene0654_00-stool-2-14-12,The stool next to the sofa table.,True,471,324,scene0654_00,stool,14,"['the', 'stool', 'next', 'to', 'the', 'sofa', 'table']",nr3d,True,True,False,False,False,True
scene0166_00-books-6-46-45-47-48-49-50,"The bookshelf is located in between the doors, the shelf is the second one from the top",True,694,625,scene0166_00,books,46,"['the', 'bookshelf', 'is', 'located', 'in', 'between', 'the', 'doors', 'the', 'shelf', 'is', 'the', 'second', 'one', 'from', 'the', 'top']",nr3d,True,True,True,False,False,True
scene0057_00-shelf-2-27-13,The smaller of the shelves.,True,564,530,scene0057_00,shelf,27,"['the', 'smaller', 'of', 'the', 'shelves']",nr3d,True,True,False,False,True,True
scene0615_00-pillow-2-31-2,look for the bed. choose the two pillows at the end of the bed,False,116,388,scene0615_00,pillow,31,"['look', 'for', 'the', 'bed', 'choose', 'the', 'two', 'pillows', 'at', 'the', 'end', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,True
scene0159_00-door-2-6-12,The brown door not the white one,True,67,286,scene0159_00,door,6,"['the', 'brown', 'door', 'not', 'the', 'white', 'one']",nr3d,True,True,True,True,False,True
scene0262_00-whiteboard-2-5-6,the whiteboard is the smaller one above the blue chair,True,127,45,scene0262_00,whiteboard,5,"['the', 'whiteboard', 'is', 'the', 'smaller', 'one', 'above', 'the', 'blue', 'chair']",nr3d,True,True,True,True,True,True
scene0661_00-table-5-6-7-8-9-10,the only desk that sits next to another,True,175,132,scene0661_00,table,6,"['the', 'only', 'desk', 'that', 'sits', 'next', 'to', 'another']",nr3d,True,True,True,False,False,True
scene0099_00-chair-4-2-0-1-3,"If you are standing at the white table, it is the closest chair on the left.",True,56,714,scene0099_00,chair,2,"['if', 'you', 'are', 'standing', 'at', 'the', 'white', 'table', 'it', 'is', 'the', 'closest', 'chair', 'on', 'the', 'left']",nr3d,True,True,True,True,False,True
scene0239_00-ottoman-2-16-17,The ottoman is closer to the whiteboard,True,525,401,scene0239_00,ottoman,16,"['the', 'ottoman', 'is', 'closer', 'to', 'the', 'whiteboard']",nr3d,True,True,False,False,False,True
scene0223_00-bed-2-5-4,"Facing the desk between the beds, the bed on the right.",True,564,596,scene0223_00,bed,5,"['facing', 'the', 'desk', 'between', 'the', 'beds', 'the', 'bed', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True
scene0216_00-picture-4-13-5-6-12,if looking at the window it's the picture in the front left.,False,94,183,scene0216_00,picture,13,"['if', 'looking', 'at', 'the', 'window', 'it', 'is', 'the', 'picture', 'in', 'the', 'front', 'left']",nr3d,True,True,True,False,False,True
scene0042_00-bathroom_stall_door-2-1-15,Choose the stall door closes to the sink.,True,308,596,scene0042_00,bathroom stall door,1,"['choose', 'the', 'stall', 'door', 'closes', 'to', 'the', 'sink']",nr3d,True,True,False,False,False,True
scene0040_00-monitor-4-60-1-2-32,Choose the smaller monitor on the same wall with the 4 drawer white drawers.,True,356,32,scene0040_00,monitor,60,"['choose', 'the', 'smaller', 'monitor', 'on', 'the', 'same', 'wall', 'with', 'the', 'four', 'drawer', 'white', 'drawers']",nr3d,True,True,True,True,True,True
scene0341_00-cup-3-33-32-35,"When standing in the middle of the room facing the cups, the correct one is on the far right, farthest from the door.",True,411,174,scene0341_00,cup,33,"['when', 'standing', 'in', 'the', 'middle', 'of', 'the', 'room', 'facing', 'the', 'cups', 'the', 'correct', 'one', 'is', 'on', 'the', 'far', 'right', 'farthest', 'from', 'the', 'door']",nr3d,True,True,True,False,False,True
scene0142_00-table-5-6-3-4-5-7,"If standing at the door looking at the windows, the far right table against the wall and against the window.",True,426,353,scene0142_00,table,6,"['if', 'standing', 'at', 'the', 'door', 'looking', 'at', 'the', 'windows', 'the', 'far', 'right', 'table', 'against', 'the', 'wall', 'and', 'against', 'the', 'window']",nr3d,True,True,True,False,False,True
scene0333_00-desk-2-4-3,The desk WITHOUT the creepy person sitting at it.,True,469,45,scene0333_00,desk,4,"['the', 'desk', 'without', 'the', 'creepy', 'person', 'sitting', 'at', 'it']",nr3d,True,True,True,False,False,True
scene0155_00-desk-4-22-26-28-30,CHoose the long rectangular table at the end of three square ones.,True,356,589,scene0155_00,desk,22,"['choose', 'the', 'long', 'rectangular', 'table', 'at', 'the', 'end', 'of', 'three', 'square', 'ones']",nr3d,True,True,True,False,True,True
scene0477_00-window-2-13-26,The window between the two pieces of wood furniture.  The window is over the air conditioner.,True,374,564,scene0477_00,window,13,"['the', 'window', 'between', 'the', 'two', 'pieces', 'of', 'wood', 'furniture', 'the', 'window', 'is', 'over', 'the', 'air', 'conditioner']",nr3d,True,True,True,False,False,True
scene0646_00-table-2-8-9,The taller glass and wood table that is against a wall.,True,646,132,scene0646_00,table,8,"['the', 'taller', 'glass', 'and', 'wood', 'table', 'that', 'is', 'against', 'a', 'wall']",nr3d,True,True,True,False,True,True
scene0017_00-trash_can-3-20-18-19,The trash can farthest from the door by itself.,True,564,384,scene0017_00,trash can,20,"['the', 'trash', 'can', 'farthest', 'from', 'the', 'door', 'by', 'itself']",nr3d,True,True,True,False,False,True
scene0640_00-window-2-41-49,The narrow window to the left of the larger windows.,True,181,553,scene0640_00,window,41,"['the', 'narrow', 'window', 'to', 'the', 'left', 'of', 'the', 'larger', 'windows']",nr3d,True,True,True,False,True,True
scene0370_00-office_chair-6-2-0-1-3-4-5,"On the side with 3 chairs pushed against the wall, the middle chair.",True,564,252,scene0370_00,office chair,2,"['on', 'the', 'side', 'with', 'three', 'chairs', 'pushed', 'against', 'the', 'wall', 'the', 'middle', 'chair']",nr3d,True,True,True,False,False,True
scene0577_00-cabinet-2-7-5,the tall white cabinet,True,534,321,scene0577_00,cabinet,7,"['the', 'tall', 'white', 'cabinet']",nr3d,True,True,False,True,True,True
scene0220_00-kitchen_cabinet-5-23-24-31-33-35,The kitchen cabinet near the floor on the right as you enter through the white door,True,277,706,scene0220_00,kitchen cabinet,23,"['the', 'kitchen', 'cabinet', 'near', 'the', 'floor', 'on', 'the', 'right', 'as', 'you', 'enter', 'through', 'the', 'white', 'door']",nr3d,True,True,True,True,False,True
scene0415_00-bag-2-1-0,The bag close to the toilet,True,596,132,scene0415_00,bag,1,"['the', 'bag', 'close', 'to', 'the', 'toilet']",nr3d,True,True,False,False,False,True
scene0068_00-kitchen_counter-2-35-6,Kitchen counter above trash cans,True,129,230,scene0068_00,kitchen counter,35,"['kitchen', 'counter', 'above', 'trash', 'cans']",nr3d,True,True,True,False,False,True
scene0138_00-radiator-2-44-43,When standing in the middle of the room facing the radiators the correct one is on the right.,True,411,645,scene0138_00,radiator,44,"['when', 'standing', 'in', 'the', 'middle', 'of', 'the', 'room', 'facing', 'the', 'radiators', 'the', 'correct', 'one', 'is', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True
scene0177_00-monitor-4-30-3-23-25,The monitor with a blue pen in front of it.,True,591,257,scene0177_00,monitor,30,"['the', 'monitor', 'with', 'a', 'blue', 'pen', 'in', 'front', 'of', 'it']",nr3d,True,True,True,True,False,True
scene0433_00-oven-2-19-2,select the lower oven,True,175,579,scene0433_00,oven,19,"['select', 'the', 'lower', 'oven']",nr3d,True,True,True,False,False,True
scene0512_00-bookshelf-2-10-13,The much larger bookshelf,True,16,591,scene0512_00,bookshelf,10,"['the', 'much', 'larger', 'bookshelf']",nr3d,True,True,False,False,True,True
scene0014_00-sink-2-28-29,"The sink on the right side of the countertop, closest to the open door.",True,656,589,scene0014_00,sink,28,"['the', 'sink', 'on', 'the', 'right', 'side', 'of', 'the', 'countertop', 'closest', 'to', 'the', 'open', 'door']",nr3d,True,True,True,False,False,True
scene0301_00-curtain-3-7-8-28,The curtain that is nearest the TV,True,595,471,scene0301_00,curtain,7,"['the', 'curtain', 'that', 'is', 'nearest', 'the', 'tv']",nr3d,True,True,True,False,False,True
scene0000_00-window-2-0-1,The windows in the kitchen.,True,591,648,scene0000_00,window,0,"['the', 'windows', 'in', 'the', 'kitchen']",nr3d,True,True,False,False,False,True
scene0006_00-curtain-3-32-3-31,The shortest of the curtains.,True,564,331,scene0006_00,curtain,32,"['the', 'shortest', 'of', 'the', 'curtains']",nr3d,True,True,False,False,False,True
scene0186_00-file_cabinet-2-46-36,file cabinet under the office deask,False,668,579,scene0186_00,file cabinet,46,"['file', 'cabinet', 'under', 'the', 'office', 'desk']",nr3d,True,True,True,False,False,True
