scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train
scene0264_01,8,"[6, 7, 9]",the monitor that is in the middle of the printer and the door,scene0264_01-monitor-4-8-6-7-9,between,between,monitor,"['printer', 'door']","[12, 18]","['the', 'monitor', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'printer', 'and', 'the', 'door']",sr3d,True,True,True
scene0264_01,8,"[6, 7, 9]",find the monitor that is in the middle of the printer and the door,scene0264_01-monitor-4-8-6-7-9,between,between,monitor,"['printer', 'door']","[12, 18]","['find', 'the', 'monitor', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'printer', 'and', 'the', 'door']",sr3d,True,True,True
scene0264_01,8,"[6, 7, 9]",the monitor that is between the printer and the whiteboard,scene0264_01-monitor-4-8-6-7-9,between,between,monitor,"['printer', 'whiteboard']","[12, 20]","['the', 'monitor', 'that', 'is', 'between', 'the', 'printer', 'and', 'the', 'whiteboard']",sr3d,True,True,True
scene0264_01,8,"[6, 7, 9]",find the monitor that is between the printer and the whiteboard,scene0264_01-monitor-4-8-6-7-9,between,between,monitor,"['printer', 'whiteboard']","[12, 20]","['find', 'the', 'monitor', 'that', 'is', 'between', 'the', 'printer', 'and', 'the', 'whiteboard']",sr3d,True,True,True
scene0264_01,14,[26],choose the trash can that is in the center of the door and the whiteboard,scene0264_01-trash_can-2-14-26,between,between,trash can,"['door', 'whiteboard']","[18, 20]","['choose', 'the', 'trash', 'can', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'door', 'and', 'the', 'whiteboard']",sr3d,True,True,True
scene0264_01,14,[26],select the trash can that is in the center of the door and the whiteboard,scene0264_01-trash_can-2-14-26,between,between,trash can,"['door', 'whiteboard']","[18, 20]","['select', 'the', 'trash', 'can', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'door', 'and', 'the', 'whiteboard']",sr3d,True,True,True
scene0264_00,19,[17],choose the trash can that is in the middle of the door and the board,scene0264_00-trash_can-2-19-17,between,between,trash can,"['door', 'board']","[18, 21]","['choose', 'the', 'trash', 'can', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'door', 'and', 'the', 'board']",sr3d,True,True,True
scene0264_00,19,[17],choose the trash can that is in the center of the door and the board,scene0264_00-trash_can-2-19-17,between,between,trash can,"['door', 'board']","[18, 21]","['choose', 'the', 'trash', 'can', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'door', 'and', 'the', 'board']",sr3d,True,True,True
scene0106_01,10,"[5, 6, 7]",select the table that is in the center of the tv and the computer tower,scene0106_01-table-4-10-5-6-7,between,between,table,"['tv', 'computer tower']","[3, 19]","['select', 'the', 'table', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'tv', 'and', 'the', 'computer', 'tower']",sr3d,True,True,True
scene0106_01,10,"[5, 6, 7]",the table that is in the center of the tv and the computer tower,scene0106_01-table-4-10-5-6-7,between,between,table,"['tv', 'computer tower']","[3, 19]","['the', 'table', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'tv', 'and', 'the', 'computer', 'tower']",sr3d,True,True,True
scene0106_01,2,[9],the couch that is in the middle of the tv and the sink,scene0106_01-couch-2-2-9,between,between,couch,"['tv', 'sink']","[3, 41]","['the', 'couch', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'tv', 'and', 'the', 'sink']",sr3d,True,True,True
scene0106_01,2,[9],choose the couch that is in the middle of the tv and the sink,scene0106_01-couch-2-2-9,between,between,couch,"['tv', 'sink']","[3, 41]","['choose', 'the', 'couch', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'tv', 'and', 'the', 'sink']",sr3d,True,True,True
scene0106_01,20,"[24, 25, 27, 31, 32]",select the monitor that is in the center of the tv and the sink,scene0106_01-monitor-6-20-24-25-27-31-32,between,between,monitor,"['tv', 'sink']","[3, 41]","['select', 'the', 'monitor', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'tv', 'and', 'the', 'sink']",sr3d,True,True,True
scene0106_01,20,"[24, 25, 27, 31, 32]",the monitor that is in the middle of the tv and the sink,scene0106_01-monitor-6-20-24-25-27-31-32,between,between,monitor,"['tv', 'sink']","[3, 41]","['the', 'monitor', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'tv', 'and', 'the', 'sink']",sr3d,True,True,True
scene0106_01,21,"[26, 28, 30]",the keyboard that is in the center of the tv and the sink,scene0106_01-keyboard-4-21-26-28-30,between,between,keyboard,"['tv', 'sink']","[3, 41]","['the', 'keyboard', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'tv', 'and', 'the', 'sink']",sr3d,True,True,True
scene0106_01,21,"[26, 28, 30]",select the keyboard that is in the center of the tv and the sink,scene0106_01-keyboard-4-21-26-28-30,between,between,keyboard,"['tv', 'sink']","[3, 41]","['select', 'the', 'keyboard', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'tv', 'and', 'the', 'sink']",sr3d,True,True,True
scene0106_01,10,"[5, 6, 7]",the table that is in the center of the tv and the door,scene0106_01-table-4-10-5-6-7,between,between,table,"['tv', 'door']","[3, 43]","['the', 'table', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'tv', 'and', 'the', 'door']",sr3d,True,True,True
scene0106_01,10,"[5, 6, 7]",find the table that is in the middle of the tv and the door,scene0106_01-table-4-10-5-6-7,between,between,table,"['tv', 'door']","[3, 43]","['find', 'the', 'table', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'tv', 'and', 'the', 'door']",sr3d,True,True,True
scene0106_01,10,"[5, 6, 7]",the table that is in the center of the tv and the trash can,scene0106_01-table-4-10-5-6-7,between,between,table,"['tv', 'trash can']","[3, 44]","['the', 'table', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'tv', 'and', 'the', 'trash', 'can']",sr3d,True,True,True
scene0106_01,10,"[5, 6, 7]",find the table that is in the middle of the tv and the trash can,scene0106_01-table-4-10-5-6-7,between,between,table,"['tv', 'trash can']","[3, 44]","['find', 'the', 'table', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'tv', 'and', 'the', 'trash', 'can']",sr3d,True,True,True
scene0106_01,2,[9],find the couch that is between the window and the computer tower,scene0106_01-couch-2-2-9,between,between,couch,"['window', 'computer tower']","[8, 19]","['find', 'the', 'couch', 'that', 'is', 'between', 'the', 'window', 'and', 'the', 'computer', 'tower']",sr3d,True,True,True
scene0106_01,2,[9],choose the couch that is between the window and the computer tower,scene0106_01-couch-2-2-9,between,between,couch,"['window', 'computer tower']","[8, 19]","['choose', 'the', 'couch', 'that', 'is', 'between', 'the', 'window', 'and', 'the', 'computer', 'tower']",sr3d,True,True,True
