scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train
scene0264_01,14,[26],select the trash can that is beneath the desk,scene0264_01-trash_can-2-14-26,vertical,below,trash can,['desk'],[13],"['select', 'the', 'trash', 'can', 'that', 'is', 'beneath', 'the', 'desk']",sr3d,True,True,True
scene0264_01,14,[26],choose the trash can that is underneath the desk,scene0264_01-trash_can-2-14-26,vertical,below,trash can,['desk'],[13],"['choose', 'the', 'trash', 'can', 'that', 'is', 'underneath', 'the', 'desk']",sr3d,True,True,True
scene0264_01,8,"[6, 7, 9]",choose the monitor that is above the computer tower,scene0264_01-monitor-4-8-6-7-9,vertical,above,monitor,['computer tower'],[21],"['choose', 'the', 'monitor', 'that', 'is', 'above', 'the', 'computer', 'tower']",sr3d,True,True,True
scene0264_01,8,"[6, 7, 9]",find the monitor that is above the computer tower,scene0264_01-monitor-4-8-6-7-9,vertical,above,monitor,['computer tower'],[21],"['find', 'the', 'monitor', 'that', 'is', 'above', 'the', 'computer', 'tower']",sr3d,True,True,True
scene0324_01,9,[10],select the picture that is above the stool,scene0324_01-picture-2-9-10,vertical,above,picture,['stool'],[13],"['select', 'the', 'picture', 'that', 'is', 'above', 'the', 'stool']",sr3d,True,True,True
scene0324_01,9,[10],choose the picture that is over the stool,scene0324_01-picture-2-9-10,vertical,above,picture,['stool'],[13],"['choose', 'the', 'picture', 'that', 'is', 'over', 'the', 'stool']",sr3d,True,True,True
scene0324_01,10,[9],select the picture that is above the table,scene0324_01-picture-2-10-9,vertical,above,picture,['table'],[7],"['select', 'the', 'picture', 'that', 'is', 'above', 'the', 'table']",sr3d,True,True,True
scene0324_01,10,[9],choose the picture that is above the table,scene0324_01-picture-2-10-9,vertical,above,picture,['table'],[7],"['choose', 'the', 'picture', 'that', 'is', 'above', 'the', 'table']",sr3d,True,True,True
scene0324_01,13,"[1, 2, 3, 4, 11]",choose the stool that is under the picture,scene0324_01-stool-6-13-1-2-3-4-11,vertical,below,stool,['picture'],[9],"['choose', 'the', 'stool', 'that', 'is', 'under', 'the', 'picture']",sr3d,True,True,True
scene0324_01,13,"[1, 2, 3, 4, 11]",choose the stool that is below the picture,scene0324_01-stool-6-13-1-2-3-4-11,vertical,below,stool,['picture'],[9],"['choose', 'the', 'stool', 'that', 'is', 'below', 'the', 'picture']",sr3d,True,True,True
